CompanyName,YearMonth,MonthlyRevenue,MonthlyOrders
"Que Delícia",2014-12,37493.98,1
HILARION-Abastos,2014-12,37150.58,1
LINO-Delicateses,2014-12,36542.46,1
"Trail's Head Gourmet Provisioners",2014-12,36349.67,2
"Alfreds Futterkiste",2014-12,35843.0,3
GROSELLA-Restaurante,2014-12,34635.26,1
"Suprêmes délices",2014-12,33976.64,1
"Hungry Coyote Import Store",2014-12,31924.5,1
"Wolski  Zajazd",2014-12,28665.25,3
"Split Rail Beer & Ale",2014-12,27409.89,1
"La corne d'abondance",2014-12,27268.2,2
"Du monde entier",2014-12,25063.95,1
"Bottom-Dollar Markets",2014-12,25015.03,1
"Princesa Isabel Vinhos",2014-12,23255.6,1
"Ottilies Käseladen",2014-12,19540.29,1
"Tradição Hipermercados",2014-12,19250.57,1
"Rattlesnake Canyon Grocery",2014-12,17615.54,2
"Hungry Owl All-Night Grocers",2014-12,17200.31,1
"Maison Dewey",2014-12,16494.69,2
"Pericles Comidas clásicas",2014-12,13036.28,1
"Around the Horn",2014-12,12990.27,1
"Blondesddsl père et fils",2014-12,9516.71,1
"Let's Stop N Shop",2014-12,9516.35,1
"Folk och fä HB",2014-12,7803.65,1
"Tortuga Restaurante",2014-12,3885.5,1
"Save-a-lot Markets",2014-12,470.0,1
"Suprêmes délices",2015-01,141375.36,4
"Comércio Mineiro",2015-01,112876.89,4
GROSELLA-Restaurante,2015-01,112236.94,3
"Tortuga Restaurante",2015-01,109482.63,3
"Drachenblut Delikatessen",2015-01,106614.73,3
"Ana Trujillo Emparedados y helados",2015-01,100359.17,3
"Cactus Comidas para llevar",2015-01,97212.79,3
"Trail's Head Gourmet Provisioners",2015-01,94410.55,2
"Magazzini Alimentari Riuniti",2015-01,90146.42,2
"Königlich Essen",2015-01,86341.42,2
"Wartian Herkku",2015-01,84283.52,4
"Que Delícia",2015-01,82479.11,3
"Galería del gastrónomo",2015-01,80637.19,2
IT,2015-01,80506.38,2
"Romero y tomillo",2015-01,75350.53,2
"Toms Spezialitäten",2015-01,74738.53,2
"Wilman Kala",2015-01,73984.6,2
"France restauration",2015-01,70596.15,2
"Around the Horn",2015-01,67944.59,2
"La maison d'Asie",2015-01,65715.84,2
"Blauer See Delikatessen",2015-01,65035.73,3
"Save-a-lot Markets",2015-01,64987.24,2
North/South,2015-01,62247.63,3
"Rancho grande",2015-01,59323.63,2
LINO-Delicateses,2015-01,56945.31,1
"Ricardo Adocicados",2015-01,54919.85,1
"Wellington Importadora",2015-01,54759.21,3
"Antonio Moreno Taquería",2015-01,53452.13,1
"Hanari Carnes",2015-01,53012.04,2
"Bólido Comidas preparadas",2015-01,52373.38,3
"Blondesddsl père et fils",2015-01,52279.88,1
"Reggiani Caseifici",2015-01,52095.82,1
"Familia Arquibaldo",2015-01,49668.32,2
"Lazy K Kountry Store",2015-01,46560.5,1
"Tradição Hipermercados",2015-01,45447.87,1
"Gourmet Lanchonetes",2015-01,45286.59,2
"Simons bistro",2015-01,44313.68,1
"Rattlesnake Canyon Grocery",2015-01,43202.26,2
"Let's Stop N Shop",2015-01,42063.52,1
"Centro comercial Moctezuma",2015-01,39172.42,1
"Ottilies Käseladen",2015-01,38867.5,1
"Santé Gourmet",2015-01,38503.47,1
"Split Rail Beer & Ale",2015-01,37156.32,2
"Folies gourmandes",2015-01,35882.13,1
"Pericles Comidas clásicas",2015-01,35141.25,2
"Island Trading",2015-01,32554.55,2
LILA-Supermercado,2015-01,30296.68,1
"Old World Delicatessen",2015-01,28642.67,1
"Chop-suey Chinese",2015-01,28221.05,2
"Furia Bacalhau e Frutos do Mar",2015-01,26432.38,1
"Richter Supermarkt",2015-01,26131.68,1
"Franchi S.p.A.",2015-01,22533.61,1
"Great Lakes Food Market",2015-01,21412.02,1
"Océano Atlántico Ltda.",2015-01,20921.8,2
"Queen Cozinha",2015-01,18423.05,1
Vaffeljernet,2015-01,17532.75,1
"Godos Cocina Típica",2015-01,17051.8,1
"Folk och fä HB",2015-01,16238.5,2
"Victuailles en stock",2015-01,16172.8,3
"Vins et alcools Chevalier",2015-01,13199.25,1
"Bottom-Dollar Markets",2015-01,12298.83,1
"The Cracker Box",2015-01,10947.19,1
"Lehmanns Marktstand",2015-01,9966.7,1
Frankenversand,2015-01,8929.5,1
"Princesa Isabel Vinhos",2015-01,6943.7,1
"Die Wandernde Kuh",2015-01,5105.6,1
"Seven Seas Imports",2015-01,1709.25,1
"Ana Trujillo Emparedados y helados",2015-02,131217.7,5
"Ricardo Adocicados",2015-02,101442.94,2
"Bólido Comidas preparadas",2015-02,100932.72,2
"Ottilies Käseladen",2015-02,95653.12,2
"Bon app'",2015-02,93413.31,2
"Godos Cocina Típica",2015-02,82305.1,4
"Gourmet Lanchonetes",2015-02,80903.52,2
IT,2015-02,80733.72,4
"Furia Bacalhau e Frutos do Mar",2015-02,78171.23,2
"Blauer See Delikatessen",2015-02,74649.17,2
"La maison d'Asie",2015-02,71194.56,2
"Island Trading",2015-02,69985.54,2
"Océano Atlántico Ltda.",2015-02,63160.82,2
"Pericles Comidas clásicas",2015-02,62444.09,2
"The Cracker Box",2015-02,60662.45,2
"Centro comercial Moctezuma",2015-02,60173.15,2
"Tradição Hipermercados",2015-02,57903.99,2
"Rancho grande",2015-02,57628.64,1
"France restauration",2015-02,57180.01,2
"Toms Spezialitäten",2015-02,56365.59,2
"Bottom-Dollar Markets",2015-02,55294.6,2
"Morgenstern Gesundkost",2015-02,54854.3,1
"Folk och fä HB",2015-02,54415.95,1
"Santé Gourmet",2015-02,53625.5,1
"Antonio Moreno Taquería",2015-02,52650.97,1
"Split Rail Beer & Ale",2015-02,47120.07,1
"Galería del gastrónomo",2015-02,47114.33,2
"Du monde entier",2015-02,47027.56,2
"La corne d'abondance",2015-02,46756.52,2
"Queen Cozinha",2015-02,46266.51,1
"Piccolo und mehr",2015-02,44021.12,1
"Eastern Connection",2015-02,44005.11,1
"Trail's Head Gourmet Provisioners",2015-02,41110.71,2
"Romero y tomillo",2015-02,38640.61,2
"Lehmanns Marktstand",2015-02,38510.74,1
"Königlich Essen",2015-02,37432.67,1
"Reggiani Caseifici",2015-02,37158.25,1
"Lazy K Kountry Store",2015-02,37071.93,2
"Cactus Comidas para llevar",2015-02,36011.89,3
LINO-Delicateses,2015-02,34559.0,1
"Save-a-lot Markets",2015-02,34306.37,1
"Familia Arquibaldo",2015-02,34015.15,1
"Suprêmes délices",2015-02,33571.52,3
"Chop-suey Chinese",2015-02,33522.41,1
"The Big Cheese",2015-02,33310.25,1
"Franchi S.p.A.",2015-02,32144.26,1
"Consolidated Holdings",2015-02,30094.32,1
"Comércio Mineiro",2015-02,29502.47,1
"Berglunds snabbköp",2015-02,28129.87,1
GROSELLA-Restaurante,2015-02,26345.5,1
"Richter Supermarkt",2015-02,24643.5,1
"Magazzini Alimentari Riuniti",2015-02,21014.93,1
"Blondesddsl père et fils",2015-02,20155.66,1
"Spécialités du monde",2015-02,19198.35,1
"Ernst Handel",2015-02,19031.74,1
Frankenversand,2015-02,18505.09,1
"Wolski  Zajazd",2015-02,16665.63,2
"B's Beverages",2015-02,14436.34,1
"Around the Horn",2015-02,11335.0,1
"Victuailles en stock",2015-02,11208.83,1
"Laughing Bacchus Wine Cellars",2015-02,11048.0,1
"Alfreds Futterkiste",2015-02,7052.78,1
"Hanari Carnes",2015-02,5754.06,1
"FISSA Fabrica Inter. Salchichas S.A.",2015-02,5123.0,1
"Princesa Isabel Vinhos",2015-02,4077.25,1
"Simons bistro",2015-02,1654.15,1
"Wilman Kala",2015-02,585.0,1
"Trail's Head Gourmet Provisioners",2015-03,148748.7,4
"Antonio Moreno Taquería",2015-03,140769.04,5
IT,2015-03,110008.3,3
"Hanari Carnes",2015-03,107944.8,3
"Old World Delicatessen",2015-03,107218.26,3
"Bottom-Dollar Markets",2015-03,105314.12,2
"Franchi S.p.A.",2015-03,100127.51,2
"Maison Dewey",2015-03,86439.52,2
"Wellington Importadora",2015-03,85052.67,3
"Folies gourmandes",2015-03,82746.5,2
"Seven Seas Imports",2015-03,77374.61,2
"Split Rail Beer & Ale",2015-03,74988.43,3
"Tortuga Restaurante",2015-03,73446.69,2
"Toms Spezialitäten",2015-03,73387.9,3
"Pericles Comidas clásicas",2015-03,70983.2,2
"Hungry Coyote Import Store",2015-03,69115.57,2
"Folk och fä HB",2015-03,68441.67,3
"Berglunds snabbköp",2015-03,61607.02,2
"Gourmet Lanchonetes",2015-03,61193.61,2
"Blondesddsl père et fils",2015-03,58748.88,1
"Simons bistro",2015-03,57346.48,2
"La corne d'abondance",2015-03,57155.22,4
"Laughing Bacchus Wine Cellars",2015-03,55297.2,3
"Königlich Essen",2015-03,55136.55,1
"Paris spécialités",2015-03,54759.3,2
"Centro comercial Moctezuma",2015-03,52318.67,2
"Save-a-lot Markets",2015-03,50713.01,1
LILA-Supermercado,2015-03,50248.86,2
"Familia Arquibaldo",2015-03,49526.82,1
"Alfreds Futterkiste",2015-03,48994.51,1
GROSELLA-Restaurante,2015-03,46572.19,2
"Wartian Herkku",2015-03,44220.34,3
"Ottilies Käseladen",2015-03,43786.07,1
"Princesa Isabel Vinhos",2015-03,41026.69,2
"Océano Atlántico Ltda.",2015-03,39865.09,3
"Bon app'",2015-03,39423.27,1
"Santé Gourmet",2015-03,38355.6,1
"B's Beverages",2015-03,38246.41,1
North/South,2015-03,38132.8,2
"Bólido Comidas preparadas",2015-03,37628.81,1
"Wilman Kala",2015-03,36502.85,2
"France restauration",2015-03,36480.51,2
"Suprêmes délices",2015-03,35642.07,1
"The Cracker Box",2015-03,34166.31,1
"Island Trading",2015-03,33575.87,2
"Lehmanns Marktstand",2015-03,33428.25,1
"Galería del gastrónomo",2015-03,33177.15,1
"Blauer See Delikatessen",2015-03,33053.91,1
"The Big Cheese",2015-03,32906.92,1
"Cactus Comidas para llevar",2015-03,27107.2,1
"Tradição Hipermercados",2015-03,25886.89,1
"Chop-suey Chinese",2015-03,23749.49,1
"Vins et alcools Chevalier",2015-03,22745.3,1
"Ana Trujillo Emparedados y helados",2015-03,22499.99,2
"Rancho grande",2015-03,20787.23,1
"Furia Bacalhau e Frutos do Mar",2015-03,19804.51,1
"Piccolo und mehr",2015-03,18424.17,2
"Lonesome Pine Restaurant",2015-03,18217.6,2
"Ernst Handel",2015-03,17843.05,1
"Que Delícia",2015-03,17721.83,2
"Great Lakes Food Market",2015-03,16143.47,1
"Lazy K Kountry Store",2015-03,15597.46,1
"Let's Stop N Shop",2015-03,14574.65,1
LINO-Delicateses,2015-03,13887.82,1
"Reggiani Caseifici",2015-03,12325.1,1
"Romero y tomillo",2015-03,9048.9,1
"Spécialités du monde",2015-03,8720.35,1
"Victuailles en stock",2015-03,7481.1,1
"White Clover Markets",2015-03,5903.4,1
HILARION-Abastos,2015-03,3413.55,1
"Lonesome Pine Restaurant",2015-04,210980.36,4
"Mère Paillarde",2015-04,179970.88,5
"La corne d'abondance",2015-04,146642.93,4
"Bottom-Dollar Markets",2015-04,117973.93,3
"Victuailles en stock",2015-04,115285.33,3
"Vins et alcools Chevalier",2015-04,97401.15,4
LILA-Supermercado,2015-04,94351.75,4
"Franchi S.p.A.",2015-04,92497.73,2
"Océano Atlántico Ltda.",2015-04,91686.58,2
"Toms Spezialitäten",2015-04,83832.02,2
"Eastern Connection",2015-04,83086.44,2
"Rancho grande",2015-04,82991.17,2
"Galería del gastrónomo",2015-04,66871.69,2
"Princesa Isabel Vinhos",2015-04,65312.1,2
"Pericles Comidas clásicas",2015-04,64990.32,1
"Paris spécialités",2015-04,63009.68,2
"Trail's Head Gourmet Provisioners",2015-04,61301.49,3
"Hungry Coyote Import Store",2015-04,59283.09,2
"Folies gourmandes",2015-04,54766.98,2
"Island Trading",2015-04,53866.92,2
"Rattlesnake Canyon Grocery",2015-04,53085.87,2
"The Big Cheese",2015-04,51957.88,2
"Familia Arquibaldo",2015-04,51828.84,1
"Ernst Handel",2015-04,51725.76,2
QUICK-Stop,2015-04,51206.47,1
"Wellington Importadora",2015-04,49611.8,2
"Ricardo Adocicados",2015-04,48907.39,2
IT,2015-04,48521.71,1
"Wilman Kala",2015-04,48250.83,2
"Simons bistro",2015-04,47425.25,2
"Around the Horn",2015-04,46203.08,1
HILARION-Abastos,2015-04,44714.17,1
"FISSA Fabrica Inter. Salchichas S.A.",2015-04,44583.06,1
"Seven Seas Imports",2015-04,43362.58,1
Frankenversand,2015-04,41939.55,1
Vaffeljernet,2015-04,41235.5,2
"Que Delícia",2015-04,39316.0,1
"Blondesddsl père et fils",2015-04,39178.07,1
"B's Beverages",2015-04,37692.15,2
"Santé Gourmet",2015-04,36674.69,1
"Ana Trujillo Emparedados y helados",2015-04,36570.11,1
"Reggiani Caseifici",2015-04,34945.8,1
"Cactus Comidas para llevar",2015-04,32637.31,1
"France restauration",2015-04,30084.89,1
GROSELLA-Restaurante,2015-04,26810.19,1
"Wartian Herkku",2015-04,26315.69,1
"Chop-suey Chinese",2015-04,25100.83,1
North/South,2015-04,23996.25,1
"Suprêmes délices",2015-04,20358.47,1
"Romero y tomillo",2015-04,17795.97,1
"Old World Delicatessen",2015-04,17386.58,1
"Centro comercial Moctezuma",2015-04,17034.5,2
"Split Rail Beer & Ale",2015-04,16087.9,1
"Blauer See Delikatessen",2015-04,14111.11,1
"Königlich Essen",2015-04,12988.2,1
"Consolidated Holdings",2015-04,9871.35,2
"Godos Cocina Típica",2015-04,8018.2,1
"Du monde entier",2015-04,7860.35,1
"Drachenblut Delikatessen",2015-04,7565.9,1
"Alfreds Futterkiste",2015-04,7110.0,1
"Laughing Bacchus Wine Cellars",2015-04,4546.2,1
"Die Wandernde Kuh",2015-04,2405.55,1
"Furia Bacalhau e Frutos do Mar",2015-04,2314.5,1
"Maison Dewey",2015-04,1378.59,1
"Hungry Owl All-Night Grocers",2015-04,475.5,1
"Pericles Comidas clásicas",2015-05,132076.89,4
"Mère Paillarde",2015-05,126694.41,3
"Consolidated Holdings",2015-05,125878.81,3
"Wolski  Zajazd",2015-05,115245.77,4
"Tortuga Restaurante",2015-05,115189.12,4
"Berglunds snabbköp",2015-05,111470.22,3
"Queen Cozinha",2015-05,111248.15,3
"Die Wandernde Kuh",2015-05,107816.81,2
"Franchi S.p.A.",2015-05,103214.11,2
"France restauration",2015-05,96788.58,2
"B's Beverages",2015-05,95749.95,2
"Drachenblut Delikatessen",2015-05,93596.11,3
"La corne d'abondance",2015-05,93568.85,3
"The Cracker Box",2015-05,90848.91,2
"Toms Spezialitäten",2015-05,89155.35,4
"Hungry Owl All-Night Grocers",2015-05,89023.91,3
"Godos Cocina Típica",2015-05,87589.58,2
"Spécialités du monde",2015-05,84287.81,3
"Bottom-Dollar Markets",2015-05,73500.78,3
"Hungry Coyote Import Store",2015-05,72757.93,2
"Seven Seas Imports",2015-05,60625.75,1
"Wilman Kala",2015-05,60427.57,1
"Rancho grande",2015-05,57683.64,2
"Around the Horn",2015-05,56885.88,1
"Antonio Moreno Taquería",2015-05,54147.15,1
"Lazy K Kountry Store",2015-05,51878.67,1
GROSELLA-Restaurante,2015-05,51159.34,2
"Trail's Head Gourmet Provisioners",2015-05,48293.91,2
"Ottilies Käseladen",2015-05,46736.42,1
"Save-a-lot Markets",2015-05,45526.45,1
"Simons bistro",2015-05,45219.58,1
"Folk och fä HB",2015-05,45066.63,1
Vaffeljernet,2015-05,44944.38,1
"Princesa Isabel Vinhos",2015-05,42424.67,1
"Tradição Hipermercados",2015-05,41176.45,1
"Blondesddsl père et fils",2015-05,39181.39,1
"Ricardo Adocicados",2015-05,36727.88,2
IT,2015-05,35723.76,1
"FISSA Fabrica Inter. Salchichas S.A.",2015-05,34985.59,1
"Océano Atlántico Ltda.",2015-05,33030.62,1
"Ana Trujillo Emparedados y helados",2015-05,32566.06,1
"Du monde entier",2015-05,31345.03,2
"Reggiani Caseifici",2015-05,30995.51,2
"Hanari Carnes",2015-05,29861.68,1
"Centro comercial Moctezuma",2015-05,28426.26,1
"Lonesome Pine Restaurant",2015-05,27473.8,3
"White Clover Markets",2015-05,27129.32,2
"Santé Gourmet",2015-05,24853.32,1
"Furia Bacalhau e Frutos do Mar",2015-05,24599.8,1
"Richter Supermarkt",2015-05,23981.83,1
"Gourmet Lanchonetes",2015-05,23640.1,1
"Bólido Comidas preparadas",2015-05,23211.56,1
"Alfreds Futterkiste",2015-05,21448.49,1
LINO-Delicateses,2015-05,20638.54,1
LILA-Supermercado,2015-05,16425.52,1
"Maison Dewey",2015-05,16182.5,1
"Cactus Comidas para llevar",2015-05,15163.5,2
"Lehmanns Marktstand",2015-05,13949.47,1
"Eastern Connection",2015-05,13198.29,1
"Piccolo und mehr",2015-05,12030.55,1
"Ernst Handel",2015-05,7374.0,1
"Let's Stop N Shop",2015-05,6571.9,1
"Victuailles en stock",2015-05,5314.68,1
"La maison d'Asie",2015-05,1384.2,1
North/South,2015-05,117.0,1
"Eastern Connection",2015-06,179169.83,4
IT,2015-06,138913.62,8
"Wellington Importadora",2015-06,130932.57,5
Vaffeljernet,2015-06,126160.58,3
"Lonesome Pine Restaurant",2015-06,119671.18,4
"Rancho grande",2015-06,109678.84,2
"Wolski  Zajazd",2015-06,104524.41,3
"Gourmet Lanchonetes",2015-06,102692.7,2
"Romero y tomillo",2015-06,96669.57,3
"Hungry Owl All-Night Grocers",2015-06,89389.54,4
"Simons bistro",2015-06,86118.42,3
"Maison Dewey",2015-06,84873.81,2
"Que Delícia",2015-06,67043.55,3
"La corne d'abondance",2015-06,60387.98,3
"Franchi S.p.A.",2015-06,58439.38,3
"Suprêmes délices",2015-06,57818.79,2
"Ana Trujillo Emparedados y helados",2015-06,55306.22,2
"Bon app'",2015-06,54093.2,1
"Pericles Comidas clásicas",2015-06,53626.39,1
"FISSA Fabrica Inter. Salchichas S.A.",2015-06,53559.18,2
LINO-Delicateses,2015-06,50667.2,1
"Hanari Carnes",2015-06,48770.97,1
"Blondesddsl père et fils",2015-06,47307.59,2
"Die Wandernde Kuh",2015-06,46672.49,3
"Vins et alcools Chevalier",2015-06,46514.85,1
QUICK-Stop,2015-06,46215.67,1
"Santé Gourmet",2015-06,44921.78,1
"Lazy K Kountry Store",2015-06,41960.4,2
"Comércio Mineiro",2015-06,40567.78,1
"Seven Seas Imports",2015-06,38899.88,1
GROSELLA-Restaurante,2015-06,38240.5,3
"Princesa Isabel Vinhos",2015-06,36889.16,1
"Reggiani Caseifici",2015-06,36054.55,2
"Richter Supermarkt",2015-06,34851.03,1
"Save-a-lot Markets",2015-06,33764.91,1
"Drachenblut Delikatessen",2015-06,33445.53,1
"Du monde entier",2015-06,32649.64,1
"Berglunds snabbköp",2015-06,32479.71,1
"Hungry Coyote Import Store",2015-06,30289.59,1
"Furia Bacalhau e Frutos do Mar",2015-06,30052.54,1
"Folies gourmandes",2015-06,29918.46,2
"Folk och fä HB",2015-06,29843.53,1
"Galería del gastrónomo",2015-06,28824.36,1
HILARION-Abastos,2015-06,27575.85,1
"Bólido Comidas preparadas",2015-06,26675.27,1
"Victuailles en stock",2015-06,24772.77,1
"France restauration",2015-06,19840.44,2
"B's Beverages",2015-06,19227.71,1
"Consolidated Holdings",2015-06,18144.46,1
"Queen Cozinha",2015-06,16414.88,1
"Around the Horn",2015-06,15493.85,1
"Let's Stop N Shop",2015-06,15347.25,1
"Rattlesnake Canyon Grocery",2015-06,12659.03,1
"Ernst Handel",2015-06,10710.6,1
"La maison d'Asie",2015-06,10230.4,1
"Wartian Herkku",2015-06,8992.43,1
"Morgenstern Gesundkost",2015-06,8584.51,1
"Océano Atlántico Ltda.",2015-06,8257.5,1
"Blauer See Delikatessen",2015-06,7747.62,1
"Island Trading",2015-06,5679.35,1
"Centro comercial Moctezuma",2015-06,5047.67,1
"Toms Spezialitäten",2015-06,3876.85,1
"Tortuga Restaurante",2015-06,1343.0,1
LILA-Supermercado,2015-06,175.0,1
"Trail's Head Gourmet Provisioners",2015-07,159231.38,6
"Folk och fä HB",2015-07,152904.13,4
"Ottilies Käseladen",2015-07,129777.29,3
"Island Trading",2015-07,122685.83,3
"Chop-suey Chinese",2015-07,120711.52,4
"Blauer See Delikatessen",2015-07,115699.73,3
"Berglunds snabbköp",2015-07,110777.67,3
"Piccolo und mehr",2015-07,106476.43,3
"Hungry Coyote Import Store",2015-07,102892.06,4
"Familia Arquibaldo",2015-07,100159.08,3
"Centro comercial Moctezuma",2015-07,99130.98,2
"Hungry Owl All-Night Grocers",2015-07,95095.08,3
North/South,2015-07,94005.77,4
"Que Delícia",2015-07,88216.25,3
"Mère Paillarde",2015-07,85622.88,2
"Spécialités du monde",2015-07,83440.58,2
"Bottom-Dollar Markets",2015-07,80384.88,2
"Old World Delicatessen",2015-07,79309.78,2
"La maison d'Asie",2015-07,77319.78,2
GROSELLA-Restaurante,2015-07,64119.61,2
"Folies gourmandes",2015-07,63043.08,3
"Lonesome Pine Restaurant",2015-07,59853.06,1
"Godos Cocina Típica",2015-07,59216.27,2
"Franchi S.p.A.",2015-07,53074.0,2
"Maison Dewey",2015-07,52576.17,1
QUICK-Stop,2015-07,52233.83,1
"Great Lakes Food Market",2015-07,51436.99,2
"Wellington Importadora",2015-07,48345.21,1
"Wolski  Zajazd",2015-07,47013.4,1
"Galería del gastrónomo",2015-07,45602.14,2
"Tortuga Restaurante",2015-07,45523.17,1
"Seven Seas Imports",2015-07,44869.98,1
"Laughing Bacchus Wine Cellars",2015-07,44814.47,1
"Königlich Essen",2015-07,44537.65,1
"Lehmanns Marktstand",2015-07,43945.04,2
"La corne d'abondance",2015-07,42944.01,3
"Richter Supermarkt",2015-07,42741.74,1
"Bólido Comidas preparadas",2015-07,42715.13,2
Frankenversand,2015-07,41721.27,1
"Wilman Kala",2015-07,41695.14,2
"Tradição Hipermercados",2015-07,38494.05,1
"Toms Spezialitäten",2015-07,37003.3,2
"Let's Stop N Shop",2015-07,35137.11,1
HILARION-Abastos,2015-07,34761.34,2
LINO-Delicateses,2015-07,33915.83,1
"Suprêmes délices",2015-07,32741.67,1
"Simons bistro",2015-07,32729.62,1
LILA-Supermercado,2015-07,31259.77,1
"Vins et alcools Chevalier",2015-07,27658.5,1
"Ana Trujillo Emparedados y helados",2015-07,27000.1,1
"Pericles Comidas clásicas",2015-07,25285.15,2
"Lazy K Kountry Store",2015-07,24162.71,2
"Reggiani Caseifici",2015-07,23693.98,1
"Split Rail Beer & Ale",2015-07,22247.21,1
"Alfreds Futterkiste",2015-07,19902.27,1
"Eastern Connection",2015-07,19376.21,1
"B's Beverages",2015-07,19299.73,1
"Comércio Mineiro",2015-07,18421.85,2
"Consolidated Holdings",2015-07,17835.86,1
"Ernst Handel",2015-07,16949.3,1
"Save-a-lot Markets",2015-07,16837.9,1
"The Big Cheese",2015-07,14626.3,1
"Océano Atlántico Ltda.",2015-07,11442.3,1
"Magazzini Alimentari Riuniti",2015-07,7322.95,1
"Santé Gourmet",2015-07,4542.15,1
"Queen Cozinha",2015-07,4537.6,1
"Hanari Carnes",2015-07,1904.75,1
"Drachenblut Delikatessen",2015-07,1520.85,1
"Cactus Comidas para llevar",2015-08,175474.51,5
"Piccolo und mehr",2015-08,169511.71,4
"Königlich Essen",2015-08,149215.95,4
"Split Rail Beer & Ale",2015-08,147970.3,5
"Tortuga Restaurante",2015-08,138250.02,3
"Bottom-Dollar Markets",2015-08,119513.75,3
"Simons bistro",2015-08,118271.85,3
"The Big Cheese",2015-08,117502.1,3
North/South,2015-08,104298.52,3
"Save-a-lot Markets",2015-08,103565.71,3
"Bólido Comidas preparadas",2015-08,100708.22,3
"Princesa Isabel Vinhos",2015-08,98659.57,3
"Blauer See Delikatessen",2015-08,98161.06,3
"Pericles Comidas clásicas",2015-08,88775.6,3
"Let's Stop N Shop",2015-08,83561.63,3
"Rancho grande",2015-08,83017.42,2
"B's Beverages",2015-08,80804.43,5
Frankenversand,2015-08,78765.48,2
"Ottilies Käseladen",2015-08,75654.64,2
"Mère Paillarde",2015-08,74809.68,2
"Ana Trujillo Emparedados y helados",2015-08,73505.65,2
"White Clover Markets",2015-08,72276.99,2
"Gourmet Lanchonetes",2015-08,71557.85,3
"Island Trading",2015-08,69841.7,2
"Lehmanns Marktstand",2015-08,69608.13,2
"Ernst Handel",2015-08,66285.29,2
"Seven Seas Imports",2015-08,62337.16,1
"Morgenstern Gesundkost",2015-08,61181.67,1
"Hungry Owl All-Night Grocers",2015-08,60333.7,2
"Folies gourmandes",2015-08,59755.39,2
"Franchi S.p.A.",2015-08,56175.22,1
"La maison d'Asie",2015-08,53786.63,1
"Hungry Coyote Import Store",2015-08,53642.41,1
"Great Lakes Food Market",2015-08,53182.47,1
"Suprêmes délices",2015-08,52672.77,2
"Hanari Carnes",2015-08,52270.66,1
"Wolski  Zajazd",2015-08,51773.56,2
"Wartian Herkku",2015-08,51662.32,1
"FISSA Fabrica Inter. Salchichas S.A.",2015-08,50825.8,1
"Santé Gourmet",2015-08,49056.43,1
"Folk och fä HB",2015-08,48832.1,1
"Drachenblut Delikatessen",2015-08,47565.68,2
"Maison Dewey",2015-08,45394.06,1
"Alfreds Futterkiste",2015-08,44732.33,2
LILA-Supermercado,2015-08,44320.61,1
"Du monde entier",2015-08,43751.02,1
"Paris spécialités",2015-08,43325.65,1
"Centro comercial Moctezuma",2015-08,40775.84,1
"Galería del gastrónomo",2015-08,40002.71,1
"Antonio Moreno Taquería",2015-08,36841.56,2
"Rattlesnake Canyon Grocery",2015-08,35334.26,1
"Trail's Head Gourmet Provisioners",2015-08,33520.56,1
"Familia Arquibaldo",2015-08,31960.71,1
"Tradição Hipermercados",2015-08,31247.1,2
"Bon app'",2015-08,31037.78,1
"Die Wandernde Kuh",2015-08,28355.6,2
HILARION-Abastos,2015-08,27624.9,1
IT,2015-08,26680.6,2
"La corne d'abondance",2015-08,25023.59,1
"Toms Spezialitäten",2015-08,24757.47,1
"Victuailles en stock",2015-08,24738.59,2
"Lonesome Pine Restaurant",2015-08,22396.96,2
"Ricardo Adocicados",2015-08,22284.22,1
"Godos Cocina Típica",2015-08,21686.56,1
"Reggiani Caseifici",2015-08,20292.29,1
"Comércio Mineiro",2015-08,18032.76,1
"Eastern Connection",2015-08,17816.1,1
"Berglunds snabbköp",2015-08,17664.2,1
"Wilman Kala",2015-08,15586.58,1
"Blondesddsl père et fils",2015-08,13067.65,1
"Vins et alcools Chevalier",2015-08,12457.06,1
GROSELLA-Restaurante,2015-08,11585.11,1
"Laughing Bacchus Wine Cellars",2015-08,11224.42,1
"Queen Cozinha",2015-08,7805.5,1
"Océano Atlántico Ltda.",2015-08,3965.5,1
"Around the Horn",2015-08,2707.43,1
"B's Beverages",2015-09,143492.62,3
"Pericles Comidas clásicas",2015-09,125847.77,3
"Romero y tomillo",2015-09,118545.69,4
"Bottom-Dollar Markets",2015-09,118332.67,3
"Simons bistro",2015-09,111342.41,3
"Queen Cozinha",2015-09,110417.32,2
"Eastern Connection",2015-09,109950.68,5
"Princesa Isabel Vinhos",2015-09,100742.38,2
"Santé Gourmet",2015-09,99340.21,4
"Alfreds Futterkiste",2015-09,96961.56,2
"Around the Horn",2015-09,95036.06,3
"Océano Atlántico Ltda.",2015-09,94229.77,5
"Laughing Bacchus Wine Cellars",2015-09,91421.78,2
"Victuailles en stock",2015-09,87575.62,3
"Gourmet Lanchonetes",2015-09,83648.3,2
"Die Wandernde Kuh",2015-09,79260.84,3
"The Big Cheese",2015-09,78230.26,2
"France restauration",2015-09,77394.64,2
QUICK-Stop,2015-09,74970.96,2
"Blondesddsl père et fils",2015-09,72269.75,3
"La maison d'Asie",2015-09,72188.9,2
"Cactus Comidas para llevar",2015-09,68769.99,2
"Maison Dewey",2015-09,68263.93,1
"Galería del gastrónomo",2015-09,63416.46,2
